Steps 0, Non dominated: 1, Max geode: 0, Maxes count: 1
Steps 1, Non dominated: 1, Max geode: 0, Maxes count: 1
Steps 2, Non dominated: 2, Max geode: 0, Maxes count: 2
Steps 3, Non dominated: 2, Max geode: 0, Maxes count: 2
Steps 4, Non dominated: 4, Max geode: 0, Maxes count: 4
Steps 5, Non dominated: 5, Max geode: 0, Maxes count: 5
Steps 6, Non dominated: 7, Max geode: 0, Maxes count: 7
Steps 7, Non dominated: 8, Max geode: 0, Maxes count: 8
Steps 8, Non dominated: 10, Max geode: 0, Maxes count: 10
Steps 9, Non dominated: 9, Max geode: 0, Maxes count: 9
Steps 10, Non dominated: 10, Max geode: 0, Maxes count: 10
Steps 11, Non dominated: 14, Max geode: 0, Maxes count: 14
Steps 12, Non dominated: 16, Max geode: 0, Maxes count: 16
Steps 13, Non dominated: 31, Max geode: 0, Maxes count: 31
Steps 14, Non dominated: 36, Max geode: 0, Maxes count: 36
Steps 15, Non dominated: 45, Max geode: 0, Maxes count: 45
Steps 16, Non dominated: 49, Max geode: 1, Maxes count: 6
Steps 17, Non dominated: 60, Max geode: 2, Maxes count: 12
Steps 18, Non dominated: 71, Max geode: 3, Maxes count: 26
Steps 19, Non dominated: 79, Max geode: 5, Maxes count: 6
Steps 20, Non dominated: 128, Max geode: 7, Maxes count: 18
Steps 21, Non dominated: 117, Max geode: 10, Maxes count: 7
Steps 22, Non dominated: 128, Max geode: 13, Maxes count: 8
Steps 23, Non dominated: 101, Max geode: 17, Maxes count: 5
Steps 24, Non dominated: 52, Max geode: 22, Maxes count: 2
Steps 25, Non dominated: 43, Max geode: 27, Maxes count: 5
Steps 26, Non dominated: 21, Max geode: 33, Maxes count: 4
Steps 27, Non dominated: 20, Max geode: 40, Maxes count: 4
Steps 28, Non dominated: 15, Max geode: 48, Maxes count: 2
Steps 29, Non dominated: 14, Max geode: 57, Maxes count: 2
Steps 30, Non dominated: 13, Max geode: 67, Maxes count: 2
Steps 31, Non dominated: 11, Max geode: 78, Maxes count: 1
Steps 32, Non dominated: 9, Max geode: 89, Maxes count: 1
Steps 33, Non dominated: 6, Max geode: 101, Maxes count: 1
Steps 34, Non dominated: 3, Max geode: 114, Maxes count: 1
Steps 35, Non dominated: 1, Max geode: 128, Maxes count: 1
Steps 36, Non dominated: 1, Max geode: 143, Maxes count: 1
Steps 37, Non dominated: 1, Max geode: 159, Maxes count: 1
Steps 38, Non dominated: 1, Max geode: 176, Maxes count: 1
Steps 39, Non dominated: 1, Max geode: 194, Maxes count: 1
Steps 40, Non dominated: 1, Max geode: 213, Maxes count: 1
Steps 41, Non dominated: 1, Max geode: 233, Maxes count: 1
Steps 42, Non dominated: 1, Max geode: 254, Maxes count: 1
Steps 43, Non dominated: 1, Max geode: 276, Maxes count: 1
Steps 44, Non dominated: 1, Max geode: 299, Maxes count: 1
Steps 45, Non dominated: 1, Max geode: 323, Maxes count: 1
Steps 46, Non dominated: 1, Max geode: 348, Maxes count: 1
Steps 47, Non dominated: 1, Max geode: 374, Maxes count: 1
Steps 48, Non dominated: 1, Max geode: 401, Maxes count: 1
Steps 49, Non dominated: 1, Max geode: 429, Maxes count: 1
Steps 50, Non dominated: 1, Max geode: 458, Maxes count: 1
Steps 51, Non dominated: 1, Max geode: 488, Maxes count: 1
Steps 52, Non dominated: 1, Max geode: 519, Maxes count: 1
Steps 53, Non dominated: 1, Max geode: 551, Maxes count: 1
Steps 54, Non dominated: 1, Max geode: 584, Maxes count: 1
Steps 55, Non dominated: 1, Max geode: 618, Maxes count: 1
Steps 56, Non dominated: 1, Max geode: 653, Maxes count: 1
Steps 57, Non dominated: 1, Max geode: 689, Maxes count: 1
Steps 58, Non dominated: 1, Max geode: 726, Maxes count: 1
Steps 59, Non dominated: 1, Max geode: 764, Maxes count: 1
Steps 60, Non dominated: 1, Max geode: 803, Maxes count: 1
Steps 61, Non dominated: 1, Max geode: 843, Maxes count: 1
Steps 62, Non dominated: 1, Max geode: 884, Maxes count: 1
Steps 63, Non dominated: 1, Max geode: 926, Maxes count: 1
Steps 64, Non dominated: 1, Max geode: 969, Maxes count: 1
Steps 65, Non dominated: 1, Max geode: 1013, Maxes count: 1
Steps 66, Non dominated: 1, Max geode: 1058, Maxes count: 1
Steps 67, Non dominated: 1, Max geode: 1104, Maxes count: 1
Steps 68, Non dominated: 1, Max geode: 1151, Maxes count: 1
Steps 69, Non dominated: 1, Max geode: 1199, Maxes count: 1
Steps 70, Non dominated: 1, Max geode: 1248, Maxes count: 1
Steps 71, Non dominated: 1, Max geode: 1298, Maxes count: 1
Steps 72, Non dominated: 1, Max geode: 1349, Maxes count: 1
Steps 73, Non dominated: 1, Max geode: 1401, Maxes count: 1
Steps 74, Non dominated: 1, Max geode: 1454, Maxes count: 1
Steps 75, Non dominated: 1, Max geode: 1508, Maxes count: 1
Steps 76, Non dominated: 1, Max geode: 1563, Maxes count: 1
Steps 77, Non dominated: 1, Max geode: 1619, Maxes count: 1
Steps 78, Non dominated: 1, Max geode: 1676, Maxes count: 1
Steps 79, Non dominated: 1, Max geode: 1734, Maxes count: 1
Steps 80, Non dominated: 1, Max geode: 1793, Maxes count: 1
Steps 81, Non dominated: 1, Max geode: 1853, Maxes count: 1
Steps 82, Non dominated: 1, Max geode: 1914, Maxes count: 1
Steps 83, Non dominated: 1, Max geode: 1976, Maxes count: 1
Steps 84, Non dominated: 1, Max geode: 2039, Maxes count: 1
Steps 85, Non dominated: 1, Max geode: 2103, Maxes count: 1
Steps 86, Non dominated: 1, Max geode: 2168, Maxes count: 1
Steps 87, Non dominated: 1, Max geode: 2234, Maxes count: 1
Steps 88, Non dominated: 1, Max geode: 2301, Maxes count: 1
Steps 89, Non dominated: 1, Max geode: 2369, Maxes count: 1
Steps 90, Non dominated: 1, Max geode: 2438, Maxes count: 1
Steps 91, Non dominated: 1, Max geode: 2508, Maxes count: 1
Steps 92, Non dominated: 1, Max geode: 2579, Maxes count: 1
Steps 93, Non dominated: 1, Max geode: 2651, Maxes count: 1
Steps 94, Non dominated: 1, Max geode: 2724, Maxes count: 1
Steps 95, Non dominated: 1, Max geode: 2798, Maxes count: 1
Steps 96, Non dominated: 1, Max geode: 2873, Maxes count: 1
Steps 97, Non dominated: 1, Max geode: 2949, Maxes count: 1
Steps 98, Non dominated: 1, Max geode: 3026, Maxes count: 1
Steps 99, Non dominated: 1, Max geode: 3104, Maxes count: 1
